categoria,producto,banner_producto,marca,descripcion_producto,descuento_2,precio,precio_sin_descuento,precio_por_kilo,url_producto,url_imagen
almacen,arroz-doble,-25%,MOLINOS ALA,Arroz Doble Carolina Molinos Ala 500 Gr.,25%,$1.700,",00$2",3400.00KG,https://diaonline.supermercadosdia.com.ar/arroz-doble-carolina-molinos-ala-500-gr-300528/p,https://ardiaprod.vtexassets.com/arquivos/ids/288155-500-auto?v=638390411564970000&width=500&height=auto&aspect=true
almacen,arroz-doble,-25%,MOLINOS,Arroz Ita Caabo Largo Fino Molinos 1 Kg,25%,$2.290,",00$3",2290.00KG,https://diaonline.supermercadosdia.com.ar/arroz-ita-caabo-largo-fino-molinos-1-kg-275460/p,https://ardiaprod.vtexassets.com/arquivos/ids/276904-500-auto?v=638322597753530000&width=500&height=auto&aspect=true
almacen,arroz-doble,,CAÑUELAS,Arroz Doble Carolina Cañuelas 500 Grs.,,$1.870,,3740.00KG,https://diaonline.supermercadosdia.com.ar/arroz-doble-carolina-canuelas-500-grs-48440/p,https://ardiaprod.vtexassets.com/arquivos/ids/300621-500-auto?v=638516219028200000&width=500&height=auto&aspect=true
