categoria,producto,banner_producto,marca,descripcion_producto,promocion,precio,precio_sin_descuento,precio_por_kilo,url_producto,url_imagen
almacen,harinas-de-maiz,-30%,MAIZENA,Almidón De Maíz Maizena 500 Gr,30%,"$1.078,00","$1.540,00",3080.00KG,https://diaonline.supermercadosdia.com.ar/almidon-de-maiz-maizena-500-gr-295455/p,https://ardiaprod.vtexassets.com/arquivos/ids/281513-500-auto?v=638322655218570000&width=500&height=auto&aspect=true
almacen,harinas-de-maiz,-20%,DIA,Polenta Cocción Rápida Dia 500 Gr.,20%,"$630,00","$790,00",1260.00KG,https://diaonline.supermercadosdia.com.ar/polenta-coccion-rapida-dia-500-gr-264675/p,https://ardiaprod.vtexassets.com/arquivos/ids/299782-500-auto?v=638509307771400000&width=500&height=auto&aspect=true
almacen,harinas-de-maiz,-21%,MORIXE,Harina Morixe para Arepas 1 Kg.,21%,"$2.790,00","$3.520,00",2790.00KG,https://diaonline.supermercadosdia.com.ar/harina-morixe-para-arepas-1-kg-265538/p,https://ardiaprod.vtexassets.com/arquivos/ids/299087-500-auto?v=638503266074630000&width=500&height=auto&aspect=true
almacen,harinas-de-maiz,,EL GRANERO,Harina de Maiz Granero 500 Gr.,,"$400,00",,800.00KG,https://diaonline.supermercadosdia.com.ar/harina-de-maiz-granero-500-gr-301306/p,https://ardiaprod.vtexassets.com/arquivos/ids/297567-500-auto?v=638491169373270000&width=500&height=auto&aspect=true
almacen,harinas-de-maiz,,DIA,Almidón de Maíz DIA 500 Gr.,,"$1.295,00",,2590.00KG,https://diaonline.supermercadosdia.com.ar/almidon-de-maiz-dia-500-gr-264672/p,https://ardiaprod.vtexassets.com/arquivos/ids/273304-500-auto?v=638322550376870000&width=500&height=auto&aspect=true
