categoria,producto,banner_producto,marca,descripcion_producto,descuento_2,precio,precio_sin_descuento,precio_por_kilo,url_producto,url_imagen
almacen,arroz-parboil,-25%,SIN MARCA,Arroz Parboil Molinos Ala 1 Kg.,25%,$2.175,",00$2",2175.00KG,https://diaonline.supermercadosdia.com.ar/arroz-parboil-molinos-ala-1-kg-33019/p,https://ardiaprod.vtexassets.com/arquivos/ids/297190-500-auto?v=638489440394600000&width=500&height=auto&aspect=true
almacen,arroz-parboil,-25%,MOLINOS ALA,Arroz Parboil 00000 Molinos Ala 500 Gr.,25%,$1.275,",00$1",2550.00KG,https://diaonline.supermercadosdia.com.ar/arroz-parboil-00000-molinos-ala-500-gr-258586/p,https://ardiaprod.vtexassets.com/arquivos/ids/297155-500-auto?v=638488575309970000&width=500&height=auto&aspect=true
