categoria,producto,banner_producto,marca,descripcion_producto,descuento_2,precio,precio_sin_descuento,precio_por_kilo,url_producto,url_imagen
almacen,conservas-de-vegetales,,LA BIANCA,Tomate Pelado Perita La Bianca 400 Gr.,,$1.680,,4200.00KG,https://diaonline.supermercadosdia.com.ar/tomate-pelado-perita-la-bianca-400-gr-46084/p,https://ardiaprod.vtexassets.com/arquivos/ids/291966-500-auto?v=638449112691030000&width=500&height=auto&aspect=true
almacen,conservas-de-vegetales,,DIA,Choclo Blanco DIA Cremoso 300 Gr.,,"$670,00",,2233.33KG,https://diaonline.supermercadosdia.com.ar/choclo-blanco-dia-cremoso-300-gr-279125/p,https://ardiaprod.vtexassets.com/arquivos/ids/277993-500-auto?v=638322611138500000&width=500&height=auto&aspect=true
almacen,conservas-de-vegetales,,DIA,Jardinera Sin Sal Dia 300 Gr.,,"$990,00",,3300.00KG,https://diaonline.supermercadosdia.com.ar/jardinera-sin-sal-dia-300-gr-280243/p,https://ardiaprod.vtexassets.com/arquivos/ids/278322-500-auto?v=638322615187370000&width=500&height=auto&aspect=true
almacen,conservas-de-vegetales,,INALPA,Arvejas Amarillas Inalpa 300 Gr.,,"$710,00",,2366.67KG,https://diaonline.supermercadosdia.com.ar/arvejas-amarillas-inalpa-300-gr-297970/p,https://ardiaprod.vtexassets.com/arquivos/ids/296888-500-auto?v=638483596938100000&width=500&height=auto&aspect=true
almacen,conservas-de-vegetales,,INALPA,Porotos Cranberry Inalpa 300 Gr.,,$1.160,,3866.67KG,https://diaonline.supermercadosdia.com.ar/porotos-cranberry-inalpa-300-gr-297969/p,https://ardiaprod.vtexassets.com/arquivos/ids/286637-500-auto?v=638369454513500000&width=500&height=auto&aspect=true
almacen,conservas-de-vegetales,,CASTELL,Pepino Agridulce Castell 220 Gr.,,$7.600,,34545.45KG,https://diaonline.supermercadosdia.com.ar/pepino-agridulce-castell-220-gr-300633/p,https://ardiaprod.vtexassets.com/arquivos/ids/287285-500-auto?v=638380098284670000&width=500&height=auto&aspect=true
almacen,conservas-de-vegetales,,DIA,Dueto Arveja y Choclo DIA 300 Gr.,,$1.020,,3400.00KG,https://diaonline.supermercadosdia.com.ar/dueto-arveja-y-choclo-dia-300-gr-279124/p,https://ardiaprod.vtexassets.com/arquivos/ids/289247-500-auto?v=638410326065630000&width=500&height=auto&aspect=true
almacen,conservas-de-vegetales,,MONTENEVI,Poroto Alubia Monte Nevi 350 Gr,,$1.010,,2970.59KG,https://diaonline.supermercadosdia.com.ar/poroto-alubia-monte-nevi-350-gr-38853/p,https://ardiaprod.vtexassets.com/arquivos/ids/263611-500-auto?v=638322410970030000&width=500&height=auto&aspect=true
almacen,conservas-de-vegetales,,TARRAGONA,Choclo Amarillo Entero Tarragona 340 Gr.,,$1.570,,4617.65KG,https://diaonline.supermercadosdia.com.ar/choclo-amarillo-entero-tarragona-340-gr-288599/p,https://ardiaprod.vtexassets.com/arquivos/ids/279794-500-auto?v=638322633420830000&width=500&height=auto&aspect=true
almacen,conservas-de-vegetales,,INALPA,Mix de Arvejas y Zanahoria Inalpa secas remojadas 300 Gr.,,"$860,00",,2866.67KG,https://diaonline.supermercadosdia.com.ar/mix-de-arvejas-y-zanahoria-inalpa-secas-remojadas-300-gr-284108/p,https://ardiaprod.vtexassets.com/arquivos/ids/279225-500-auto?v=638322625635500000&width=500&height=auto&aspect=true
almacen,conservas-de-vegetales,,DIA,Choclo Amarillo DIA Cremoso 300 Gr.,,"$650,00",,2166.67KG,https://diaonline.supermercadosdia.com.ar/choclo-amarillo-dia-cremoso-300-gr-279122/p,https://ardiaprod.vtexassets.com/arquivos/ids/277990-500-auto?v=638322611088200000&width=500&height=auto&aspect=true
almacen,conservas-de-vegetales,,INALPA,Zanahoria Inalpa en Cubos 300 Gr.,,"$800,00",,2666.67KG,https://diaonline.supermercadosdia.com.ar/zanahoria-inalpa-en-cubos-300-gr-87820/p,https://ardiaprod.vtexassets.com/arquivos/ids/264834-500-auto?v=638322429194000000&width=500&height=auto&aspect=true
almacen,conservas-de-vegetales,,DIA,Champignones Enteros Dia 400 Gr.,,$1.200,,3000.00KG,https://diaonline.supermercadosdia.com.ar/champignones-enteros-dia-400-gr-114696/p,https://ardiaprod.vtexassets.com/arquivos/ids/265488-500-auto?v=638322438533270000&width=500&height=auto&aspect=true
