descuento_1,descuento_2,campo_vacio_1,producto,campo_vacio_2,campo_vacio_3,precio_sin_descuento,precio,precio_por_k,link,imagen,fecha_scrapeo
-25%,-25%,,Sal Fina en Paquete Celusal 500 Gr.,,,$ 1.39025%,$ 1.040,Agregar,Precio por 1 Kg $ 2.780,https://ardiaprod.vtexassets.com/arquivos/ids/309071-500-auto?v=638599351982970000&width=500&height=auto&aspect=true,2025-08-30
-40%,-40%,,Coctel 4 Frutas DIA 820 Gr.,,,$ 3.47040%,$ 2.082,Agregar,"Precio por 1 Kg $ 4.231,71",https://ardiaprod.vtexassets.com/arquivos/ids/312438-500-auto?v=638599400498270000&width=500&height=auto&aspect=true,2025-08-30
-25%,-25%,,Pan Rallado Mamá Cocina 1 Kg.,,,$ 2.58525%,$ 1.940,Agregar,Precio por 1 Kg $ 2.585,https://ardiaprod.vtexassets.com/arquivos/ids/343098-500-auto?v=638726177504770000&width=500&height=auto&aspect=true,2025-08-30
-35%,-35%,,Caldo Gallina Balance Knorr 12 Ud.,,,$ 2.75035%2do al 70%,"$ 1.787,50",Agregar,"Precio por 1 UD $ 229,17",https://ardiaprod.vtexassets.com/arquivos/ids/309315-500-auto?v=638822372391670000&width=500&height=auto&aspect=true,2025-08-30
-30%,-30%,,Nachos Dinamita Fh Doritos 82 Gr.,,,$ 2.70030%,$ 1.890,Agregar,"Precio por 1 Kg $ 32.926,83",https://ardiaprod.vtexassets.com/arquivos/ids/347434-500-auto?v=638786792183830000&width=500&height=auto&aspect=true,2025-08-30
-22%,-22%,,"Aceite de Girasol Pureza 1,5 Lt.",,,$ 4.60022%,$ 3.600,Agregar,"Precio por 1 LT $ 3.066,67",https://ardiaprod.vtexassets.com/arquivos/ids/339943-500-auto?v=638786846822170000&width=500&height=auto&aspect=true,2025-08-30
-34%,-34%,,Harina para Pizza Pureza con Levadura 1 Kg.,,,$ 1.82034%,$ 1.200,Agregar,Precio por 1 Kg $ 1.820,https://ardiaprod.vtexassets.com/arquivos/ids/343097-500-auto?v=638726177489800000&width=500&height=auto&aspect=true,2025-08-30
-30%,-30%,,Bizcochuelo Mamá Cocina Chocolate 540 Gr.,,,$ 3.04530%,$ 2.130,Agregar,"Precio por 1 Kg $ 5.638,89",https://ardiaprod.vtexassets.com/arquivos/ids/323664-500-auto?v=638599558868400000&width=500&height=auto&aspect=true,2025-08-30
-10%,-10%,,Tablitas Semillas Dia 100 Gr.,,,$ 1.14010%,$ 1.025,Agregar,Precio por 1 Kg $ 11.400,https://ardiaprod.vtexassets.com/arquivos/ids/340526-500-auto?v=638701121142230000&width=500&height=auto&aspect=true,2025-08-30
-30%,-30%,,Sal Clásica Genser 90 Gr.,,,$ 3.08030%,$ 2.150,Agregar,"Precio por 1 Kg $ 34.222,22",https://ardiaprod.vtexassets.com/arquivos/ids/316908-500-auto?v=638599466061230000&width=500&height=auto&aspect=true,2025-08-30
-40%,-40%,,Durazno en Mitades DIA 820 Gr.,,,$ 2.48040%,$ 1.488,Agregar,"Precio por 1 Kg $ 3.024,39",https://ardiaprod.vtexassets.com/arquivos/ids/308558-500-auto?v=638599345396030000&width=500&height=auto&aspect=true,2025-08-30
-15%,-15%,,Maní Tostado Salado Sin Piel Dia 105 Gr.,,,$ 1.05515%,$ 895,Agregar,"Precio por 1 Kg $ 10.047,62",https://ardiaprod.vtexassets.com/arquivos/ids/340291-500-auto?v=638696795623270000&width=500&height=auto&aspect=true,2025-08-30
-15%,-15%,,Tostaditas Clásicas Dia 140 Gr.,,,$ 1.93015%,$ 1.640,Agregar,"Precio por 1 Kg $ 13.785,71",https://ardiaprod.vtexassets.com/arquivos/ids/355845-500-auto?v=638903296362700000&width=500&height=auto&aspect=true,2025-08-30
-27%,-27%,,Chocolate Milka Aireado Combinado 110 Gr.,,,$ 6.86027%2do al 70%,$ 4.990,Agregar,"Precio por 1 Kg $ 62.363,64",https://ardiaprod.vtexassets.com/arquivos/ids/323046-500-auto?v=638599551190970000&width=500&height=auto&aspect=true,2025-08-30
-10%,-10%,,Tablitas Clasicas Dia 100 Gr.,,,$ 1.14010%,$ 1.025,Agregar,Precio por 1 Kg $ 11.400,https://ardiaprod.vtexassets.com/arquivos/ids/340524-500-auto?v=638701121118270000&width=500&height=auto&aspect=true,2025-08-30
