descuento_1,descuento_2,campo_vacio_1,producto,campo_vacio_2,campo_vacio_3,precio_sin_descuento,precio,precio_por_k,link,imagen,fecha_scrapeo
-38%,-38%,,Hummus Instantaneo Natural Pop 105 Gr.,,,$ 1.21538%,$ 750,Agregar,"Precio por 1 Kg $ 11.571,43",https://ardiaprod.vtexassets.com/arquivos/ids/328938-500-auto?v=638599629333970000&width=500&height=auto&aspect=true,2025-08-30
,,,Alfajor Tita 36 Gr.,,,3x2,$ 910,Agregar,"Precio por 10 Gr $ 252,78",https://ardiaprod.vtexassets.com/arquivos/ids/331079-500-auto?v=638828368729570000&width=500&height=auto&aspect=true,2025-08-30
-24%,-24%,,Palmitos Enteros Dia 400 Gr.,,,$ 3.29524%,$ 2.490,Agregar,"Precio por 1 Kg $ 8.237,50",https://ardiaprod.vtexassets.com/arquivos/ids/350277-500-auto?v=638822085430400000&width=500&height=auto&aspect=true,2025-08-30
-36%,-36%,,Madalenas Dulce Mamá Vainilla 200 Gr.,,,$ 2.49036%,$ 1.590,Agregar,Precio por 1 Kg $ 12.450,https://ardiaprod.vtexassets.com/arquivos/ids/321342-500-auto?v=638599529617470000&width=500&height=auto&aspect=true,2025-08-30
-33%,-33%,,Pastillas de colores La Yapa 17 Gr.,,,$ 52533%,$ 350,Agregar,"Precio por 10 Gr $ 308,82",https://ardiaprod.vtexassets.com/arquivos/ids/318279-500-auto?v=638599487117870000&width=500&height=auto&aspect=true,2025-08-30
-36%,-36%,,Madalenas Dulce Mamá Vainilla con Dulce de Leche 200 Gr.,,,$ 2.49036%,$ 1.590,Agregar,Precio por 1 Kg $ 12.450,https://ardiaprod.vtexassets.com/arquivos/ids/325213-500-auto?v=638599579105200000&width=500&height=auto&aspect=true,2025-08-30
-35%,-35%,,Caldo Knorr De Verduras Cero Sodio 6 Cubos 48 Gr.,,,$ 1.78035%,$ 1.157,Agregar,"Precio por 1 Kg $ 37.083,33",https://ardiaprod.vtexassets.com/arquivos/ids/353387-500-auto?v=638871331059100000&width=500&height=auto&aspect=true,2025-08-30
,,,Alfajor Shot 44 Gr.,,,3x2,$ 1.325,Agregar,"Precio por 10 Gr $ 301,14",https://ardiaprod.vtexassets.com/arquivos/ids/354242-500-auto?v=638881703436500000&width=500&height=auto&aspect=true,2025-08-30
-35%,-35%,,Caldo Knorr De Verdura Deshidratado 6 Ud.,,,$ 1.42535%,"$ 926,25",Agregar,"Precio por 1 UD $ 237,50",https://ardiaprod.vtexassets.com/arquivos/ids/344813-500-auto?v=638744391381200000&width=500&height=auto&aspect=true,2025-08-30
,,,Sapito Frutilla Sapito 10 Gr.,,,2 x $550,$ 345,Agregar,Precio por 10 Gr $ 345,https://ardiaprod.vtexassets.com/arquivos/ids/354240-500-auto?v=638881703408500000&width=500&height=auto&aspect=true,2025-08-30
-22%,-22%,,Tableta De Chocolate Con Leche y Maní Bonafide 30 Gr.,,,$ 99022%,$ 770,Agregar,Precio por 10 Gr $ 330,https://ardiaprod.vtexassets.com/arquivos/ids/352614-500-auto?v=638858372426530000&width=500&height=auto&aspect=true,2025-08-30
,,,Chocolate Milka Blanco Relleno Dulce de Leche 29 Gr.,,,2do al 70%,$ 1.870,Agregar,"Precio por 1 Kg $ 64.482,76",https://ardiaprod.vtexassets.com/arquivos/ids/356157-500-auto?v=638908481033500000&width=500&height=auto&aspect=true,2025-08-30
,,,Chocolate Milka Relleno Dulce de Leche 29 Gr.,,,2do al 70%,$ 1.870,Agregar,"Precio por 10 Gr $ 644,83",https://ardiaprod.vtexassets.com/arquivos/ids/356154-500-auto?v=638908481000970000&width=500&height=auto&aspect=true,2025-08-30
-35%,-35%,,Papas Fritas Lays Clásicas X 230 Gr.,,,$ 7.50035%,$ 4.875,Agregar,"Precio por 100 Gr $ 3.260,87",https://ardiaprod.vtexassets.com/arquivos/ids/317566-500-auto?v=638828520389500000&width=500&height=auto&aspect=true,2025-08-30
-35%,-35%,,Papas fritas Lays Ondas Sabor a Flamin' Hot 70 Gr.,,,$ 2.90035%,$ 1.885,Agregar,"Precio por 1 Kg $ 41.428,57",https://ardiaprod.vtexassets.com/arquivos/ids/328944-500-auto?v=638599629412900000&width=500&height=auto&aspect=true,2025-08-30
-26%,-26%,,"Jardinera DIA Zanahoria, Papa y Arveja 300 Gr.",,,$ 1.20026%,$ 890,Agregar,Precio por 1 Kg $ 4.000,https://ardiaprod.vtexassets.com/arquivos/ids/340498-500-auto?v=638701120758500000&width=500&height=auto&aspect=true,2025-08-30
,,,Chocolate Milka Aireado Combinado 25 Gr.,,,2do al 70%,$ 1.870,Agregar,Precio por 10 Gr $ 748,https://ardiaprod.vtexassets.com/arquivos/ids/356145-500-auto?v=638908480904770000&width=500&height=auto&aspect=true,2025-08-30
,,,Chocolate Milka Aireado con Leche 25 Gr.,,,2do al 70%,$ 1.870,Agregar,Precio por 10 Gr $ 748,https://ardiaprod.vtexassets.com/arquivos/ids/356160-500-auto?v=638908481067530000&width=500&height=auto&aspect=true,2025-08-30
-35%,-35%,,Alfajor Turimania Turimar 28 Gr.,,,$ 46535%,$ 300,Agregar,"Precio por 10 Gr $ 166,07",https://ardiaprod.vtexassets.com/arquivos/ids/345779-500-auto?v=638786870988170000&width=500&height=auto&aspect=true,2025-08-30
-35%,-35%,,Prepizza x2 Malu 500 Gr.,,,$ 3.08035%,$ 1.990,Agregar,Precio por 1 Kg $ 6.160,https://ardiaprod.vtexassets.com/arquivos/ids/349110-500-auto?v=638798758885970000&width=500&height=auto&aspect=true,2025-08-30
-32%,-32%,,Chocolate Con Maní Shot 170 Gr.,,,$ 8.13032%,$ 5.490,Agregar,"Precio por 1 Kg $ 47.823,53",https://ardiaprod.vtexassets.com/arquivos/ids/331999-500-auto?v=638612988888070000&width=500&height=auto&aspect=true,2025-08-30
,,,Alfajor De Dulce de Leche Blanco 9 De Oro 45 Gr.,,,2x1,$ 750,Agregar,"Precio por 10 Gr $ 166,67",https://ardiaprod.vtexassets.com/arquivos/ids/350789-500-auto?v=638828993613630000&width=500&height=auto&aspect=true,2025-08-30
-33%,-33%,,Pastillas Sabor Menta DRF 23 Gr.,,,$ 45033%,$ 300,Agregar,"Precio por 10 Gr $ 195,65",https://ardiaprod.vtexassets.com/arquivos/ids/310925-500-auto?v=638786013481430000&width=500&height=auto&aspect=true,2025-08-30
,,,Chocolate Con Maní Shot 35 Gr.,,,2 x $2900,$ 2.240,Agregar,Precio por 10 Gr $ 640,https://ardiaprod.vtexassets.com/arquivos/ids/331995-500-auto?v=638894013691030000&width=500&height=auto&aspect=true,2025-08-30
-30%,-30%,,Alfajor Simple Turimar Chocolate 38 Gr.,,,$ 50030%,$ 350,Agregar,"Precio por 10 Gr $ 131,58",https://ardiaprod.vtexassets.com/arquivos/ids/319639-500-auto?v=638599506675400000&width=500&height=auto&aspect=true,2025-08-30
,,,Alfajor Milka Triple Mousse 55 Gr.,,,3x2,$ 1.880,Agregar,"Precio por 1 Kg $ 34.181,82",https://ardiaprod.vtexassets.com/arquivos/ids/307826-500-auto?v=638828347835970000&width=500&height=auto&aspect=true,2025-08-30
,,,Caramelos Tutti Frutti Flynn Paff 8 Gr.,,,2x1,$ 200,Agregar,Precio por 10 Gr $ 250,https://ardiaprod.vtexassets.com/arquivos/ids/330357-500-auto?v=638599648221300000&width=500&height=auto&aspect=true,2025-08-30
,,,Fideos Tirabuzon Dia 500 Gr.,,,2x1,$ 1.180,Agregar,Precio por 1 Kg $ 2.360,https://ardiaprod.vtexassets.com/arquivos/ids/341824-500-auto?v=638708910652830000&width=500&height=auto&aspect=true,2025-08-30
-30%,-30%,,Alfajor Turimar Blanco 38 Gr.,,,$ 50030%,$ 350,Agregar,"Precio por 10 Gr $ 131,58",https://ardiaprod.vtexassets.com/arquivos/ids/325668-500-auto?v=638599584259570000&width=500&height=auto&aspect=true,2025-08-30
-20%,-20%,,Mayonesa De Ajo Hellmans 250 Gr.,,,$ 3.00020%,$ 2.410,Agregar,Precio por 1 Kg $ 12.000,https://ardiaprod.vtexassets.com/arquivos/ids/341854-500-auto?v=638708911080500000&width=500&height=auto&aspect=true,2025-08-30
,,,Fideos Spaghetti Dia 500 Gr.,,,2x1,$ 1.180,Agregar,Precio por 1 Kg $ 2.360,https://ardiaprod.vtexassets.com/arquivos/ids/341822-500-auto?v=638708910628470000&width=500&height=auto&aspect=true,2025-08-30
-7%,-7%,,Fideos Lucchetti Dedalitos 500 Gr.,,,$ 1.5007%,$ 1.400,Agregar,Precio por 1 Kg $ 3.000,https://ardiaprod.vtexassets.com/arquivos/ids/326274-500-auto?v=638599592802900000&width=500&height=auto&aspect=true,2025-08-30
,,,Pan Para Hamburguesas Con Sesamo Bimbo 210 Gr.,,,2do al 50%,$ 2.950,Agregar,"Precio por 1 Kg $ 14.047,62",https://ardiaprod.vtexassets.com/arquivos/ids/352257-500-auto?v=638851462289770000&width=500&height=auto&aspect=true,2025-08-30
-30%,-30%,,Mix De Semillas Genser Multisemillas 150 Gr.,,,$ 3.20530%,$ 2.240,Agregar,,https://ardiaprod.vtexassets.com/arquivos/ids/347019-500-auto?v=638764193043530000&width=500&height=auto&aspect=true,2025-08-30
,,,Fideos Mostachol Dia 500 Gr.,,,2x1,$ 1.180,Agregar,Precio por 1 Kg $ 2.360,https://ardiaprod.vtexassets.com/arquivos/ids/344535-500-auto?v=638739136236300000&width=500&height=auto&aspect=true,2025-08-30
,,,Alfajor Relleno de Dulce de Leche 9 de Oro 45 Gr.,,,2x1,$ 750,Agregar,,https://ardiaprod.vtexassets.com/arquivos/ids/349323-500-auto?v=638809206054530000&width=500&height=auto&aspect=true,2025-08-30
-31%,-31%,,Caramelos Super Acidos Lipo 18 Gr.,,,$ 43531%,$ 300,Agregar,"Precio por 10 Gr $ 241,67",https://ardiaprod.vtexassets.com/arquivos/ids/340302-500-auto?v=638786810731470000&width=500&height=auto&aspect=true,2025-08-30
-30%,-30%,,Mix De Semillas Genser Desayuno 150 Gr.,,,$ 3.20530%,$ 2.240,Agregar,,https://ardiaprod.vtexassets.com/arquivos/ids/347017-500-auto?v=638764193014500000&width=500&height=auto&aspect=true,2025-08-30
,,,Alfajor Milka Simple Mousse 42 Gr.,,,2 x $1750,$ 1.340,Agregar,"Precio por 10 Gr $ 319,05",https://ardiaprod.vtexassets.com/arquivos/ids/310937-500-auto?v=638827522096370000&width=500&height=auto&aspect=true,2025-08-30
-30%,-30%,,Mix De Semillas Genser Ensaladas Y Sopas 150 Gr.,,,$ 3.20530%,$ 2.240,Agregar,,https://ardiaprod.vtexassets.com/arquivos/ids/347018-500-auto?v=638764193029530000&width=500&height=auto&aspect=true,2025-08-30
-28%,-28%,,Nestlé Classic Duo Chocolate X 80 Gr.,,,$ 4.15028%,$ 2.990,Agregar,Precio por 1 Kg $ 51.875,https://ardiaprod.vtexassets.com/arquivos/ids/353636-500-auto?v=638871334098370000&width=500&height=auto&aspect=true,2025-08-30
-5%,-5%,,Harina Integral Pureza 1 Kg.,,,$ 1.7905%,$ 1.700,Agregar,Precio por 1 Kg $ 1.790,https://ardiaprod.vtexassets.com/arquivos/ids/341612-500-auto?v=638708907859300000&width=500&height=auto&aspect=true,2025-08-30
-29%,-29%,,Pastillas Bulldog Sandía y Manzana 30 Gr.,,,$ 56529%,$ 400,Agregar,"Precio por 10 Gr $ 188,33",https://ardiaprod.vtexassets.com/arquivos/ids/325227-500-auto?v=638786848589670000&width=500&height=auto&aspect=true,2025-08-30
-30%,-30%,,Chocolate Con Leche Paulista 9 Gr.,,,$ 50030%,$ 350,Agregar,"Precio por 10 Gr $ 555,56",https://ardiaprod.vtexassets.com/arquivos/ids/319643-500-auto?v=638786846153930000&width=500&height=auto&aspect=true,2025-08-30
-28%,-28%,,Crunch Chocolate Crujiente X 80 Gr.,,,$ 4.15028%,$ 2.990,Agregar,Precio por 1 Kg $ 51.875,https://ardiaprod.vtexassets.com/arquivos/ids/353975-500-auto?v=638873055990000000&width=500&height=auto&aspect=true,2025-08-30
,,,Bombo Mousse Chocolate Smack 16 Gr.,,,2x1,$ 350,Agregar,Precio por KG $ 21.875,https://ardiaprod.vtexassets.com/arquivos/ids/341898-500-auto?v=638708911599630000&width=500&height=auto&aspect=true,2025-08-30
-28%,-28%,,Nestlé Classic Chocolate Semi Amargo X 80 Gr.,,,$ 4.15028%,$ 2.990,Agregar,Precio por 1 Kg $ 51.875,https://ardiaprod.vtexassets.com/arquivos/ids/353632-500-auto?v=638871334047270000&width=500&height=auto&aspect=true,2025-08-30
-7%,-7%,,Fideos Letritas Lucchetti 500 Gr.,,,$ 1.5007%,$ 1.400,Agregar,Precio por 1 Kg $ 3.000,https://ardiaprod.vtexassets.com/arquivos/ids/309703-500-auto?v=638599361192430000&width=500&height=auto&aspect=true,2025-08-30
-28%,-28%,,Nestlé Diplomata Chocolate Con Castañas X 80 Gr.,,,$ 4.15028%,$ 2.990,Agregar,Precio por 1 Kg $ 51.875,https://ardiaprod.vtexassets.com/arquivos/ids/353979-500-auto?v=638873056040630000&width=500&height=auto&aspect=true,2025-08-30
-28%,-28%,,Nestlé Classic Chocolate Con Leche X 80 Gr.,,,$ 4.15028%,$ 2.990,Agregar,Precio por 1 Kg $ 51.875,https://ardiaprod.vtexassets.com/arquivos/ids/353983-500-auto?v=638873056087500000&width=500&height=auto&aspect=true,2025-08-30
-22%,-22%,,Madalenas DIA con Dulce de Leche 180 Gr.,,,$ 1.92022%,$ 1.490,Agregar,"Precio por 1 Kg $ 10.666,67",https://ardiaprod.vtexassets.com/arquivos/ids/321837-500-auto?v=638599536123300000&width=500&height=auto&aspect=true,2025-08-30
-20%,-20%,,Mayonesa Sabor Ahumado Hellmans 250 Gr.,,,$ 3.00020%,$ 2.410,Agregar,Precio por 1 Kg $ 12.000,https://ardiaprod.vtexassets.com/arquivos/ids/341864-500-auto?v=638708911188900000&width=500&height=auto&aspect=true,2025-08-30
-28%,-28%,,Suflair Chocolate Aireado Con Leche X 80 Gr.,,,$ 4.37528%,$ 3.150,Agregar,"Precio por 1 Kg $ 54.687,50",https://ardiaprod.vtexassets.com/arquivos/ids/353531-500-auto?v=638871332827130000&width=500&height=auto&aspect=true,2025-08-30
,,,Alfajor Con Maní Shot Triple 60 Gr.,,,3x2,$ 1.875,Agregar,Precio por 1 Kg $ 31.250,https://ardiaprod.vtexassets.com/arquivos/ids/331991-500-auto?v=638827527937170000&width=500&height=auto&aspect=true,2025-08-30
-28%,-28%,,Chocolate con Leche Arcor 25 Gr.,,,$ 1.31528%,$ 950,Agregar,Precio por 10 Gr $ 526,https://ardiaprod.vtexassets.com/arquivos/ids/311568-500-auto?v=638599388257030000&width=500&height=auto&aspect=true,2025-08-30
,,,Oblea Rhodesia Clásica  22 Gr.,,,2 x $1650,$ 1.140,Agregar,"Precio por 10 Gr $ 518,18",https://ardiaprod.vtexassets.com/arquivos/ids/307590-500-auto?v=638599332165900000&width=500&height=auto&aspect=true,2025-08-30
-25%,-25%,,Turron Mousse Fulbito 25 Gr.,,,$ 20025%,$ 150,Agregar,Precio por 10 Gr $ 80,https://ardiaprod.vtexassets.com/arquivos/ids/329669-500-auto?v=638599638749600000&width=500&height=auto&aspect=true,2025-08-30
-27%,-27%,,Chocolate Con Leche Brek 16 Gr.,,,$ 55027%,$ 400,Agregar,Precio por KG $ 25.000,https://ardiaprod.vtexassets.com/arquivos/ids/337289-500-auto?v=638786864614200000&width=500&height=auto&aspect=true,2025-08-30
-28%,-28%,,Alpino Chocolate Con Leche Nestlé X85 Gr.,,,$ 5.52528%,$ 3.990,Agregar,Precio por 1 Kg $ 65.000,https://ardiaprod.vtexassets.com/arquivos/ids/353611-500-auto?v=638871333803700000&width=500&height=auto&aspect=true,2025-08-30
-27%,-27%,,Gotitas de Amor Billiken 35 Gr.,,,$ 55027%,$ 400,Agregar,"Precio por 10 Gr $ 157,14",https://ardiaprod.vtexassets.com/arquivos/ids/310942-500-auto?v=638786815335070000&width=500&height=auto&aspect=true,2025-08-30
,,,Chicles Beldent Menta Fuerte 10 Gr.,,,3 x $1900,$ 930,Agregar,Precio por 10 Gr $ 930,https://ardiaprod.vtexassets.com/arquivos/ids/343579-500-auto?v=638732575939000000&width=500&height=auto&aspect=true,2025-08-30
,,,Oblea Kitkat 4 Fingers X 41.5 Gr.,,,2do al 70%,$ 1.990,Agregar,"Precio por 10 Gr $ 479,52",https://ardiaprod.vtexassets.com/arquivos/ids/353458-500-auto?v=638871331920330000&width=500&height=auto&aspect=true,2025-08-30
,,,Lomitos de Atún al Natural Dia 170 Gr.,,,,$ 2.650,Agregar,"Precio por 1 Kg $ 15.588,24",https://ardiaprod.vtexassets.com/arquivos/ids/356090-500-auto?v=638907617585670000&width=500&height=auto&aspect=true,2025-08-30
,,,Puré de Tomate Dia 520 Gr.,,,,$ 790,Agregar,"Precio por 1 Kg $ 1.519,23",https://ardiaprod.vtexassets.com/arquivos/ids/340304-500-auto?v=638786813067300000&width=500&height=auto&aspect=true,2025-08-30
-22%,-22%,,Madalenas DIA con Marmoladas 200 Gr.,,,$ 1.92022%,$ 1.490,Agregar,Precio por 1 Kg $ 9.600,https://ardiaprod.vtexassets.com/arquivos/ids/321835-500-auto?v=638599536090900000&width=500&height=auto&aspect=true,2025-08-30
-21%,-21%,,Aceite De Oliva Suave Natura 500 Ml.,,,$ 14.91021%,$ 11.800,Agregar,Precio por 1 LT $ 29.820,https://ardiaprod.vtexassets.com/arquivos/ids/335018-500-auto?v=638786864283230000&width=500&height=auto&aspect=true,2025-08-30
-15%,-15%,,Pan de Papa Con Queso Dia 320 Gr.,,,$ 3.30015%,$ 2.805,Agregar,"Precio por 1 Kg $ 8.765,63",https://ardiaprod.vtexassets.com/arquivos/ids/352946-500-auto?v=638869609905100000&width=500&height=auto&aspect=true,2025-08-30
,,,Alfajor Pepitos Triple 57 Gr.,,,3x2,$ 1.880,Agregar,"Precio por 1 Kg $ 32.982,46",https://ardiaprod.vtexassets.com/arquivos/ids/307968-500-auto?v=638827522607500000&width=500&height=auto&aspect=true,2025-08-30
-22%,-22%,,Madalenas DIA con Vainilla 200 Gr.,,,$ 1.92022%,$ 1.490,Agregar,Precio por 1 Kg $ 9.600,https://ardiaprod.vtexassets.com/arquivos/ids/321836-500-auto?v=638599536107170000&width=500&height=auto&aspect=true,2025-08-30
,,,Alfajor Triple Milka Oreo 61 Gr.,,,3x2,$ 1.880,Agregar,"Precio por 1 Kg $ 30.819,67",https://ardiaprod.vtexassets.com/arquivos/ids/314610-500-auto?v=638827525670130000&width=500&height=auto&aspect=true,2025-08-30
,,,Alfajor Oreo Triple 56 Gr.,,,3x2,$ 1.880,Agregar,"Precio por 1 Kg $ 33.571,43",https://ardiaprod.vtexassets.com/arquivos/ids/322966-500-auto?v=638827518677100000&width=500&height=auto&aspect=true,2025-08-30
-24%,-24%,,Aljafor Chocolate Creamy Cofler 60 Gr.,,,$ 1.71024%,$ 1.300,Agregar,Precio por 1 Kg $ 28.500,https://ardiaprod.vtexassets.com/arquivos/ids/350618-500-auto?v=638827340311630000&width=500&height=auto&aspect=true,2025-08-30
-20%,-20%,,Salsa Picante Hellmanns 250 Gr.,,,$ 3.00020%,$ 2.410,Agregar,Precio por 1 Kg $ 12.000,https://ardiaprod.vtexassets.com/arquivos/ids/308191-500-auto?v=638599340161600000&width=500&height=auto&aspect=true,2025-08-30
-22%,-22%,,Madalenas DIA con Chips 180 Gr.,,,$ 1.92022%,$ 1.490,Agregar,"Precio por 1 Kg $ 10.666,67",https://ardiaprod.vtexassets.com/arquivos/ids/321838-500-auto?v=638599536141330000&width=500&height=auto&aspect=true,2025-08-30
-22%,-22%,,Donut Glaseada X 1 Ud.,,,$ 89022%,$ 690,Agregar,Precio por 1 UD $ 690,https://ardiaprod.vtexassets.com/arquivos/ids/341619-500-auto?v=638708907977700000&width=500&height=auto&aspect=true,2025-08-30
-5%,-5%,,Harina 000 Cañuelas Ultra Refinada 1 Kg.,,,$ 1.0255%,$ 970,Agregar,Precio por 1 Kg $ 1.025,https://ardiaprod.vtexassets.com/arquivos/ids/322323-500-auto?v=638895628154630000&width=500&height=auto&aspect=true,2025-08-30
-14%,-14%,,Puré de Tomate Dia Sabor Albahaca y Ajo 520 Gr.,,,$ 1.14514%,$ 990,Agregar,"Precio por 1 Kg $ 2.201,92",https://ardiaprod.vtexassets.com/arquivos/ids/340341-500-auto?v=638696796244270000&width=500&height=auto&aspect=true,2025-08-30
-20%,-20%,,Medialuna De Manteca X 1 Ud.,,,$ 45020%,$ 360,Agregar,Precio por 1 UD $ 360,https://ardiaprod.vtexassets.com/arquivos/ids/341627-500-auto?v=638708908113330000&width=500&height=auto&aspect=true,2025-08-30
-21%,-21%,,Harina De Trigo 0000 Masa Madre Pureza 1 Kg.,,,$ 2.38021%,$ 1.890,Agregar,Precio por 1 Kg $ 2.380,https://ardiaprod.vtexassets.com/arquivos/ids/354957-500-auto?v=638889472827800000&width=500&height=auto&aspect=true,2025-08-30
-20%,-20%,,Chocolate Amargo 73% Cacao Hershey's 85 Gr.,,,$ 4.99020%,$ 3.990,Agregar,"Precio por 1 Kg $ 58.705,88",https://ardiaprod.vtexassets.com/arquivos/ids/354189-500-auto?v=638879104611130000&width=500&height=auto&aspect=true,2025-08-30
,,,Chicles Beldent Menta 20 Gr.,,,3 x $1900,$ 930,Agregar,Precio por 10 Gr $ 930,https://ardiaprod.vtexassets.com/arquivos/ids/320690-500-auto?v=638599521386000000&width=500&height=auto&aspect=true,2025-08-30
,,,Alfajor Terrabusi Chocolate Clásico 50 Gr.,,,3x2,$ 1.260,Agregar,Precio por 1 Kg $ 25.200,https://ardiaprod.vtexassets.com/arquivos/ids/312773-500-auto?v=638827524718030000&width=500&height=auto&aspect=true,2025-08-30
-20%,-20%,,Chocolatín Biznikke Blanco 8 Gr.,,,$ 44020%,$ 350,Agregar,"Precio por 10 Gr $ 488,89",https://ardiaprod.vtexassets.com/arquivos/ids/324572-500-auto?v=638599570303570000&width=500&height=auto&aspect=true,2025-08-30
-20%,-20%,,Chocolatín Biznikkecon Leche 8 Gr.,,,$ 44020%,$ 350,Agregar,"Precio por 10 Gr $ 488,89",https://ardiaprod.vtexassets.com/arquivos/ids/324571-500-auto?v=638599570288900000&width=500&height=auto&aspect=true,2025-08-30
,,,Lomitos de Atún en Aceite Dia 170 Gr.,,,,$ 2.650,Agregar,"Precio por 1 Kg $ 15.588,24",https://ardiaprod.vtexassets.com/arquivos/ids/356095-500-auto?v=638907617637170000&width=500&height=auto&aspect=true,2025-08-30
,,,Bombón Relleno Bon o Bon Original 15 Gr.,,,2 x $800,$ 600,Agregar,Precio por 10 Gr $ 400,https://ardiaprod.vtexassets.com/arquivos/ids/307588-500-auto?v=638599332136100000&width=500&height=auto&aspect=true,2025-08-30
-15%,-15%,,Porotos Negros Secos Remojados Dia 300 Gr.,,,$ 1.04515%,$ 890,Agregar,"Precio por 1 Kg $ 3.483,33",https://ardiaprod.vtexassets.com/arquivos/ids/344168-500-auto?v=638736551671900000&width=500&height=auto&aspect=true,2025-08-30
-22%,-22%,,Pannini 135 Gr.,,,$ 95022%,$ 740,Agregar,"Precio por 1 Kg $ 5.481,48",https://ardiaprod.vtexassets.com/arquivos/ids/334691-500-auto?v=638786852649670000&width=500&height=auto&aspect=true,2025-08-30
-15%,-15%,,Pan De Papa Dia 300 Gr.,,,$ 3.30015%,$ 2.805,Agregar,Precio por 1 Kg $ 9.350,https://ardiaprod.vtexassets.com/arquivos/ids/352244-500-auto?v=638848863948300000&width=500&height=auto&aspect=true,2025-08-30
,,,Alfajor Terrabusi Triple Torta 70 Gr.,,,3x2,$ 1.875,Agregar,"Precio por 1 Kg $ 26.785,71",https://ardiaprod.vtexassets.com/arquivos/ids/307956-500-auto?v=638888001556630000&width=500&height=auto&aspect=true,2025-08-30
,,,Arroz Largo Fino Ala 1 Kg.,,,,$ 1.710,Agregar,Precio por 1 Kg $ 1.710,https://ardiaprod.vtexassets.com/arquivos/ids/341195-500-auto?v=638778358022100000&width=500&height=auto&aspect=true,2025-08-30
,,,Oblea Tita Chocolate 19 Gr.,,,2 x $1450,$ 990,Agregar,"Precio por 10 Gr $ 521,05",https://ardiaprod.vtexassets.com/arquivos/ids/331059-500-auto?v=638603483935500000&width=500&height=auto&aspect=true,2025-08-30
,,,Chocolate Milka Oreo Blanco 20 Gr.,,,2 x $2050,$ 1.460,Agregar,Precio por 10 Gr $ 730,https://ardiaprod.vtexassets.com/arquivos/ids/317912-500-auto?v=638894015229300000&width=500&height=auto&aspect=true,2025-08-30
,,,Chocolate Milka Con Leche 20 Gr.,,,2 x $2050,$ 1.460,Agregar,Precio por 10 Gr $ 730,https://ardiaprod.vtexassets.com/arquivos/ids/317907-500-auto?v=638894012710000000&width=500&height=auto&aspect=true,2025-08-30
,,,Alfajor Con Relleno De Frutos Rojos 9 De Oro 46 Gr.,,,2x1,$ 750,Agregar,"Precio por 10 Gr $ 163,04",https://ardiaprod.vtexassets.com/arquivos/ids/352466-500-auto?v=638917440302100000&width=500&height=auto&aspect=true,2025-08-30
-20%,-20%,,Panal De Membrillo X 1 Ud.,,,$ 45020%,$ 360,Agregar,Precio por 1 UD $ 360,https://ardiaprod.vtexassets.com/arquivos/ids/341625-500-auto?v=638708908080030000&width=500&height=auto&aspect=true,2025-08-30
-21%,-21%,,Cubanito Relleno Pasta De Maní Arbanit Fellow 26 Gr.,,,$ 1.13521%,$ 900,Agregar,"Precio por 10 Gr $ 436,54",https://ardiaprod.vtexassets.com/arquivos/ids/340087-500-auto?v=638786870658670000&width=500&height=auto&aspect=true,2025-08-30
,,,Caramelo Masticable Sabor Tutti Frutti Lenguetazo 13 Gr.,,,3x2,$ 330,Agregar,"Precio por 10 Gr $ 253,85",https://ardiaprod.vtexassets.com/arquivos/ids/310681-500-auto?v=638599376322730000&width=500&height=auto&aspect=true,2025-08-30
,,,Alfajor Triple Milka Dulce De Leche 70 Gr.,,,3x2,$ 1.880,Agregar,"Precio por 1 Kg $ 26.857,14",https://ardiaprod.vtexassets.com/arquivos/ids/307961-500-auto?v=638888002357230000&width=500&height=auto&aspect=true,2025-08-30
-20%,-20%,,Medialuna De Grasa X 1 Ud.,,,$ 45020%,$ 360,Agregar,Precio por 1 UD $ 360,https://ardiaprod.vtexassets.com/arquivos/ids/341628-500-auto?v=638708908130070000&width=500&height=auto&aspect=true,2025-08-30
-14%,-14%,,Puré de Tomate Dia Sabor Ajo Y Cebolla 520 Gr.,,,$ 1.14514%,$ 990,Agregar,"Precio por 1 Kg $ 2.201,92",https://ardiaprod.vtexassets.com/arquivos/ids/340348-500-auto?v=638732344730530000&width=500&height=auto&aspect=true,2025-08-30
-20%,-20%,,Vigilante Croissant 75 Gr.,,,$ 45020%,$ 360,Agregar,Precio por 1 Kg $ 4.800,https://ardiaprod.vtexassets.com/arquivos/ids/331071-500-auto?v=638603484107700000&width=500&height=auto&aspect=true,2025-08-30
-15%,-15%,,Arroz Ita Caabo Largo Fino Molinos 1 Kg,,,$ 2.57015%,$ 2.180,Agregar,Precio por 1 Kg $ 2.570,https://ardiaprod.vtexassets.com/arquivos/ids/332624-500-auto?v=638619041556170000&width=500&height=auto&aspect=true,2025-08-30
,,,Chocolate Milka Chocopause 45 Gr.,,,2 x $2900,$ 2.320,Agregar,"Precio por 10 Gr $ 515,56",https://ardiaprod.vtexassets.com/arquivos/ids/324050-500-auto?v=638894012480630000&width=500&height=auto&aspect=true,2025-08-30
,,,Alfajor Terrabusi Triple Clásico 70 Gr.,,,3x2,$ 1.880,Agregar,"Precio por 1 Kg $ 26.857,14",https://ardiaprod.vtexassets.com/arquivos/ids/307951-500-auto?v=638599336649270000&width=500&height=auto&aspect=true,2025-08-30
