categoria,producto,banner_producto,marca,descripcion_producto,descuento_2,precio,precio_sin_descuento,precio_por_kilo,url_producto,url_imagen
almacen,caramelos-y-gomitas,,BILLIKEN,Gomitas Eucalipto Billiken 200 Gr.,,"$905,00",,4525.00KG,https://diaonline.supermercadosdia.com.ar/gomitas-eucalipto-billiken-200-gr-198791/p,https://ardiaprod.vtexassets.com/arquivos/ids/282173-500-auto?v=638326237374100000&width=500&height=auto&aspect=true
almacen,caramelos-y-gomitas,,BILLIKEN,Gomitas Cítricas Billiken 200 Gr.,,"$905,00",,4525.00KG,https://diaonline.supermercadosdia.com.ar/gomitas-citricas-billiken-200-gr-149362/p,https://ardiaprod.vtexassets.com/arquivos/ids/282166-500-auto?v=638326237275730000&width=500&height=auto&aspect=true
almacen,caramelos-y-gomitas,,BILLIKEN,Masticable Terror Billiken 150 Gr.,,"$845,00",,5633.33KG,https://diaonline.supermercadosdia.com.ar/masticable-terror-billiken-150-gr-298963/p,https://ardiaprod.vtexassets.com/arquivos/ids/282216-500-auto?v=638326237954500000&width=500&height=auto&aspect=true
almacen,caramelos-y-gomitas,,XTREME,Caramelo Acido Masticable Berry Extreme 25 Gr,,"$600,00",,24000.00KG,https://diaonline.supermercadosdia.com.ar/caramelo-acido-masticable-berry-extreme-25-gr-285554/p,https://ardiaprod.vtexassets.com/arquivos/ids/279513-500-auto?v=638322629425770000&width=500&height=auto&aspect=true
almacen,caramelos-y-gomitas,,YUMMY,Ositos Ácidos Yummy 150 Grs.,,"$560,00",,3733.33KG,https://diaonline.supermercadosdia.com.ar/ositos-acidos-yummy-150-grs-24174/p,https://ardiaprod.vtexassets.com/arquivos/ids/263115-500-auto?v=638322403944770000&width=500&height=auto&aspect=true
almacen,caramelos-y-gomitas,,BILLIKEN,Gomitas Billiken Rollo Frutal 35 Gr.,,"$400,00",,11428.57KG,https://diaonline.supermercadosdia.com.ar/gomitas-billiken-rollo-frutal-35-gr-283791/p,https://ardiaprod.vtexassets.com/arquivos/ids/279127-500-auto?v=638322624458730000&width=500&height=auto&aspect=true
almacen,caramelos-y-gomitas,,XTREME,Caramelo Masticable Acido Xtreme 25 Gr,,"$600,00",,24000.00KG,https://diaonline.supermercadosdia.com.ar/caramelo-masticable-acido-xtreme-25-gr-285553/p,https://ardiaprod.vtexassets.com/arquivos/ids/279512-500-auto?v=638322629411400000&width=500&height=auto&aspect=true
almacen,caramelos-y-gomitas,,YUMMY,Pastillas de Goma Yummy Fantasias 30 Gr.,,"$420,00",,14000.00KG,https://diaonline.supermercadosdia.com.ar/pastillas-de-goma-yummy-fantasias-30-gr-291721/p,https://ardiaprod.vtexassets.com/arquivos/ids/280243-500-auto?v=638322639590830000&width=500&height=auto&aspect=true
almacen,caramelos-y-gomitas,,MARENGO,Caramelos Feliz Cumpleaños Marengo 80 Gr.,,"$358,25",,4478.13KG,https://diaonline.supermercadosdia.com.ar/caramelos-feliz-cumpleanos-marengo-80-gr-292949/p,https://ardiaprod.vtexassets.com/arquivos/ids/280483-500-auto?v=638322642741570000&width=500&height=auto&aspect=true
almacen,caramelos-y-gomitas,,MARENGO,CARAMELOS CAFE MARENGO 100GR,,"$370,00",,3700.00KG,https://diaonline.supermercadosdia.com.ar/caramelos-cafe-marengo-100gr-292491/p,https://ardiaprod.vtexassets.com/arquivos/ids/280382-500-auto?v=638322641380930000&width=500&height=auto&aspect=true
almacen,caramelos-y-gomitas,,MARENGO,Caramelos Numeros y Letras Marengo 80 Gr.,,"$358,25",,4478.13KG,https://diaonline.supermercadosdia.com.ar/caramelos-numeros-y-letras-marengo-80-gr-292950/p,https://ardiaprod.vtexassets.com/arquivos/ids/280484-500-auto?v=638322642757900000&width=500&height=auto&aspect=true
almacen,caramelos-y-gomitas,,MARENGO,CARAMELOS AVENTURA MARENGO 80GR,,"$370,00",,4625.00KG,https://diaonline.supermercadosdia.com.ar/caramelos-aventura-marengo-80gr-292489/p,https://ardiaprod.vtexassets.com/arquivos/ids/280380-500-auto?v=638322641342100000&width=500&height=auto&aspect=true
almacen,caramelos-y-gomitas,,MARENGO,CARAMELOS BILLETES MARENGO 80GR,,"$370,00",,4625.00KG,https://diaonline.supermercadosdia.com.ar/caramelos-billetes-marengo-80gr-292490/p,https://ardiaprod.vtexassets.com/arquivos/ids/280381-500-auto?v=638322641361700000&width=500&height=auto&aspect=true
almacen,caramelos-y-gomitas,,FLYNN PAFF,Gomitas Flyn Paff Surtidas 30 Gr.,,"$200,00",,6666.67KG,https://diaonline.supermercadosdia.com.ar/gomitas-flyn-paff-surtidas-30-gr-285934/p,https://ardiaprod.vtexassets.com/arquivos/ids/279591-500-auto?v=638322630526600000&width=500&height=auto&aspect=true
