categoria,producto,banner_producto,marca,descripcion_producto,promocion,precio,precio_sin_descuento,precio_por_kilo,url_producto,url_imagen
almacen,chocolates,,KIT KAT,"Oblea Caramel Kitkat x 34,6 Gr.",,"$1.545,00",,44653.18KG,https://diaonline.supermercadosdia.com.ar/oblea-caramel-kitkat-x-346-gr-218278/p,https://ardiaprod.vtexassets.com/arquivos/ids/299760-500-auto?v=638509307501100000&width=500&height=auto&aspect=true
almacen,chocolates,,TOKKE,Tableta Chocolate Leche Con Mani Tokke 120 Gr.,,"$2.690,00",,22416.67KG,https://diaonline.supermercadosdia.com.ar/tableta-chocolate-leche-con-mani-tokke-120-gr-21553/p,https://ardiaprod.vtexassets.com/arquivos/ids/296060-500-auto?v=638472163269400000&width=500&height=auto&aspect=true
almacen,chocolates,,TOKKE,Bombón relleno de Dulce de Leche Tokke 10 Grs.,,"$335,00",,33500.00KG,https://diaonline.supermercadosdia.com.ar/bombon-relleno-de-dulce-de-leche-tokke-10-grs-21247/p,https://ardiaprod.vtexassets.com/arquivos/ids/262900-500-auto?v=638322401122070000&width=500&height=auto&aspect=true
almacen,chocolates,,COFLER,Relleno Untable Cofler Block 290 Grs.,,"$3.300,00",,11379.31KG,https://diaonline.supermercadosdia.com.ar/relleno-untable-cofler-block-290-grs-286158/p,https://ardiaprod.vtexassets.com/arquivos/ids/299686-500-auto?v=638508833225500000&width=500&height=auto&aspect=true
almacen,chocolates,,HERSHEY,Chocolate Aireado Con Leche Hersheys 85 Gr,,"$1.490,00",,17529.41KG,https://diaonline.supermercadosdia.com.ar/chocolate-aireado-con-leche-hersheys-85-gr-208481/p,https://ardiaprod.vtexassets.com/arquivos/ids/297263-500-auto?v=638489441300200000&width=500&height=auto&aspect=true
almacen,chocolates,,BIZNIKKE,Chocolate Nevado Dark Biznikke 28 Gr.,,"$485,00",,17321.43KG,https://diaonline.supermercadosdia.com.ar/chocolate-nevado-dark-biznikke-28-gr-299107/p,https://ardiaprod.vtexassets.com/arquivos/ids/282237-500-auto?v=638326238230170000&width=500&height=auto&aspect=true
almacen,chocolates,,GEORGALOS,Chocolate con Leche sin Azúcar Agregada Georgalos 30 Grs.,,"$490,00",,16333.33KG,https://diaonline.supermercadosdia.com.ar/chocolate-con-leche-sin-azucar-agregada-georgalos-30-grs-274639/p,https://ardiaprod.vtexassets.com/arquivos/ids/276553-500-auto?v=638322593156500000&width=500&height=auto&aspect=true
almacen,chocolates,,NESTLE,Chocolate con leche Alpino Nestlé x85 Gr.,,"$1.360,00",,16000.00KG,https://diaonline.supermercadosdia.com.ar/chocolate-con-leche-alpino-nestle-x85-gr-289413/p,https://ardiaprod.vtexassets.com/arquivos/ids/301294-500-auto?v=638528320972800000&width=500&height=auto&aspect=true
almacen,chocolates,,MECANO,Chocolate Con Leche Relleno Con Dulce De Leche Mecano Bonafide 45 Gr,,"$1.350,00",,30000.00KG,https://diaonline.supermercadosdia.com.ar/chocolate-con-leche-relleno-con-dulce-de-leche-mecano-bonafide-45-gr-293748/p,https://ardiaprod.vtexassets.com/arquivos/ids/280782-500-auto?v=638322645981200000&width=500&height=auto&aspect=true
almacen,chocolates,,HERSHEY,Chocolate Con Leche Hersheys 82 Gr,,"$1.790,00",,21829.27KG,https://diaonline.supermercadosdia.com.ar/chocolate-con-leche-hersheys-82-gr-242966/p,https://ardiaprod.vtexassets.com/arquivos/ids/297281-500-auto?v=638489441511300000&width=500&height=auto&aspect=true
